id,event_cause,corridor_final,baseline_corridor,baseline_source,nn_distance_km,hour,signal_score,baseline_delay_min,raw_score,CIS,requires_road_closure
FKID000000,vehicle_breakdown,Tumkur Road,Tumkur Road,own_corridor,0.0,17,0.0798805970603699,7.47,5.967080600409631,4.376745489009703,False
FKID000001,vehicle_breakdown,ORR East 1,ORR East 1,own_corridor,0.0,4,0.0605742139010455,0.0,0.0,0.0,False
FKID000002,others,Mysore Road,Mysore Road,own_corridor,0.0,6,0.087477773425566,0.0,0.0,0.0,False
FKID000003,tree_fall,Bellary Road 1,Bellary Road 1,own_corridor,0.0,17,0.1546142927379017,6.73,10.405541901260785,7.632276422396266,True
FKID000004,vehicle_breakdown,Mysore Road,Mysore Road,own_corridor,0.0,4,0.0684562777831094,0.0,0.0,0.0,False
FKID000005,accident,Bellary Road 2,Bellary Road 2,own_corridor,0.0,3,0.0524119992855351,0.0,0.0,0.0,False
FKID000006,vehicle_breakdown,Mysore Road,Mysore Road,own_corridor,0.0,7,0.0765518472565494,0.0,0.0,0.0,False
FKID000007,others,Non-corridor,CBD 2,nearest_neighbor_fallback,0.13093856457667033,6,0.0864722448367493,0.0,0.0,0.0,False
FKID000009,vehicle_breakdown,Non-corridor,Airport New South Road,nearest_neighbor_fallback,1.3810139606632912,5,0.070929303736677,0.0,0.0,0.0,False
FKID000010,water_logging,ORR East 2,ORR East 2,own_corridor,0.0,18,0.0782323240720293,4.82,3.7707980202718128,2.765812016023114,False
FKID000011,vehicle_breakdown,ORR West 1,ORR West 1,own_corridor,0.0,5,0.0609913578775945,0.0,0.0,0.0,False
FKID000012,water_logging,ORR East 2,ORR East 2,own_corridor,0.0,18,0.0782323240720293,4.82,3.7707980202718128,2.765812016023114,False
FKID000013,others,ORR North 1,ORR North 1,own_corridor,0.0,19,0.0737816176532171,1.94,1.4313633824724117,1.049879102846329,False
FKID000014,pot_holes,Old Madras Road,Old Madras Road,own_corridor,0.0,19,0.0567143208262115,13.65,7.74150479277787,5.678253479199116,False
FKID000015,others,Bellary Road 2,Bellary Road 2,own_corridor,0.0,19,0.0649080452495279,0.19,0.123325285974103,0.09045686244474943,False
FKID000016,others,Bellary Road 2,Bellary Road 2,own_corridor,0.0,19,0.0649080452495279,0.19,0.123325285974103,0.09045686244474943,False
FKID000017,others,ORR North 1,ORR North 1,own_corridor,0.0,19,0.0737816176532171,1.94,1.4313633824724117,1.049879102846329,False
