id,event_type,event_cause,requires_road_closure,priority,status,corridor,police_station,zone,latitude,longitude,junction,start_datetime,hour,day_of_week,dow_num,month,is_weekend,was_escalated,has_valid_stretch,stretch_km,veh_type
FKID000000,unplanned,vehicle_breakdown,False,HIGH,closed,Tumkur Road,Peenya,,13.0400041,77.5180991,,2024-03-07 17:01:48.111000+00:00,17,Thursday,3,3,False,True,False,,lcv
FKID000001,unplanned,vehicle_breakdown,False,HIGH,resolved,ORR East 1,HSR Layout,,12.9218755,77.6451585,,2024-01-30 04:07:24.173000+00:00,4,Tuesday,1,1,False,True,False,,heavy_vehicle
FKID000002,unplanned,others,False,LOW,closed,Non-corridor,Wilson Garden,Central Zone 2,12.955622,77.5857083,UrvashiJunction,2023-11-11 06:18:03.343000+00:00,6,Saturday,5,11,True,True,False,,
FKID000003,unplanned,tree_fall,True,LOW,closed,Non-corridor,Sadashivanagar,,13.0061469,77.5794348,,2024-03-07 17:56:55.061000+00:00,17,Thursday,3,3,False,True,True,0.01363308217815875,
FKID000004,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Wilson Garden,,12.95398,77.5852333,LalbaghMainGateJunc,2024-01-30 04:56:32.348000+00:00,4,Tuesday,1,1,False,True,False,,private_bus
FKID000005,unplanned,accident,False,LOW,closed,Non-corridor,Hebbala,North Zone 1,13.0664854,77.5998755,,2023-11-28 03:07:27.292421+00:00,3,Tuesday,1,11,False,True,False,,
FKID000006,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Kengeri,,12.9328703,77.4879814,,2024-01-30 07:26:26.739000+00:00,7,Tuesday,1,1,False,True,False,,bmtc_bus
FKID000007,unplanned,others,False,LOW,closed,Non-corridor,Cubbon Park,,12.973175,77.6003961,,2024-01-30 06:05:59.339000+00:00,6,Tuesday,1,1,False,True,False,,
FKID000009,unplanned,vehicle_breakdown,False,LOW,closed,Non-corridor,Hennuru,,13.0373543,77.6540442,,2024-01-30 05:25:50.078000+00:00,5,Tuesday,1,1,False,True,False,,lcv
FKID000010,unplanned,water_logging,False,HIGH,closed,ORR East 2,K.R. Pura,,13.0008457,77.6813712,,2024-03-07 18:01:40.182000+00:00,18,Thursday,3,3,False,True,False,,
FKID000011,unplanned,vehicle_breakdown,False,HIGH,closed,ORR West 1,Byatarayanapura,,12.94457,77.5274017,MysoreRd-RingRdJunc(Nayandanahallii),2024-01-30 05:21:06.975000+00:00,5,Tuesday,1,1,False,True,False,,private_car
FKID000012,unplanned,water_logging,False,HIGH,active,ORR East 2,Mahadevapura,,12.9995223,77.6827499,,2024-03-07 18:00:05.020000+00:00,18,Thursday,3,3,False,True,False,,
FKID000013,unplanned,others,False,HIGH,closed,ORR North 1,Hebbala,North Zone 1,13.0418933,77.594705,HebbalFlyoverJunc,2023-12-26 19:15:28.124000+00:00,19,Tuesday,1,12,False,True,False,,
FKID000014,unplanned,pot_holes,False,HIGH,active,Old Madras Road,Halasur,,12.975285,77.6256902,,2024-03-07 19:26:15.604000+00:00,19,Thursday,3,3,False,True,False,,
FKID000015,unplanned,others,False,HIGH,active,Bellary Road 2,Kodigehalli,,13.0633917,77.5933483,,2024-03-07 19:10:21.930000+00:00,19,Thursday,3,3,False,True,False,,
FKID000016,unplanned,others,False,HIGH,active,Bellary Road 2,Kodigehalli,,13.063425,77.5933,,2024-03-07 19:11:15.565000+00:00,19,Thursday,3,3,False,True,False,,
FKID000017,unplanned,others,False,HIGH,active,ORR North 1,Hennuru,,13.0254527,77.6417388,,2024-03-07 19:18:29.890000+00:00,19,Thursday,3,3,False,True,False,,
FKID000018,unplanned,tree_fall,False,LOW,closed,Non-corridor,Jayanagara,,12.9233517,77.5904883,,2024-03-07 19:39:29.764000+00:00,19,Thursday,3,3,False,True,False,,
FKID000019,unplanned,vehicle_breakdown,False,HIGH,closed,Bellary Road 1,Sadashivanagar,,13.0001393,77.5840594,,2024-01-30 04:49:17.231000+00:00,4,Tuesday,1,1,False,True,False,,ksrtc_bus
FKID000020,unplanned,vehicle_breakdown,False,HIGH,closed,Hosur Road,Madiwala,,12.9071221,77.6286395,,2024-03-07 19:25:04.302000+00:00,19,Thursday,3,3,False,True,False,,heavy_vehicle
FKID000021,unplanned,tree_fall,True,LOW,closed,Non-corridor,Jayanagara,,12.927375,77.5806883,,2024-03-07 19:45:16.034000+00:00,19,Thursday,3,3,False,True,True,0.002491276245279217,
FKID000022,unplanned,pot_holes,False,LOW,closed,Non-corridor,Jayanagara,South Zone 1,12.9169074,77.5950955,28thMainJayanagarJunc,2024-01-05 22:35:41.185000+00:00,22,Friday,4,1,False,True,False,,
FKID000023,unplanned,pot_holes,False,LOW,active,Non-corridor,Jeevanbheemanagar,,12.9667047,77.6615983,,2024-01-30 08:32:47.117000+00:00,8,Tuesday,1,1,False,True,False,,
FKID000024,unplanned,water_logging,False,LOW,active,Non-corridor,Whitefield,,12.8966387,77.7202071,,2024-03-07 19:55:24.461000+00:00,19,Thursday,3,3,False,True,False,,
FKID000025,unplanned,tree_fall,True,LOW,closed,Non-corridor,Wilson Garden,,12.9463911,77.597326,,2024-03-07 06:09:19.361000+00:00,6,Thursday,3,3,False,True,True,0.015576859821708278,
FKID000026,unplanned,pot_holes,False,HIGH,active,Non-corridor,Shivajinagar,,12.9856042,77.5977438,,2024-01-30 08:35:04.399000+00:00,8,Tuesday,1,1,False,True,False,,
FKID000027,unplanned,vehicle_breakdown,False,HIGH,closed,Bannerghata Road,Mico Layout,,12.9077383,77.6005709,,2024-01-30 08:12:47.138000+00:00,8,Tuesday,1,1,False,True,False,,bmtc_bus
FKID000028,unplanned,pot_holes,False,LOW,closed,Non-corridor,HAL Old Airport,,12.9635109,77.6642122,,2024-01-30 08:25:57.212000+00:00,8,Tuesday,1,1,False,True,False,,
FKID000029,unplanned,pot_holes,False,LOW,active,Non-corridor,Jeevanbheemanagar,,12.9667073,77.6615616,,2024-01-30 08:31:37.367000+00:00,8,Tuesday,1,1,False,True,False,,
FKID000030,unplanned,pot_holes,False,LOW,active,Non-corridor,Jeevanbheemanagar,,12.9666867,77.6616478,,2024-01-30 08:33:55.212000+00:00,8,Tuesday,1,1,False,True,False,,
FKID000031,unplanned,vehicle_breakdown,True,HIGH,closed,Bannerghata Road,Mico Layout,,12.907814,77.6006561,,2024-01-30 08:08:05.581000+00:00,8,Tuesday,1,1,False,True,True,0.04391090554279841,bmtc_bus
FKID000032,unplanned,vehicle_breakdown,False,HIGH,closed,Bannerghata Road,J.P. Nagar,,12.8955737,77.5993711,,2024-01-30 05:43:18.534000+00:00,5,Tuesday,1,1,False,True,False,,lcv
FKID000033,unplanned,tree_fall,False,LOW,closed,Non-corridor,Jayanagara,,12.92757,77.5832051,,2024-03-07 20:06:03.523000+00:00,20,Thursday,3,3,False,True,False,,
FKID000034,unplanned,congestion,False,HIGH,closed,ORR North 2,Kodigehalli,,13.044697,77.5828546,,2024-01-30 05:38:15.485000+00:00,5,Tuesday,1,1,False,False,False,,
FKID000035,unplanned,pot_holes,False,LOW,active,Non-corridor,Jeevanbheemanagar,,12.9666885,77.6616396,,2024-01-30 08:35:57.672000+00:00,8,Tuesday,1,1,False,True,False,,
